id,client_folder_name,analysis_area,MIN_longitude,MAX_longitude,MIN_latitude,MAX_latitude
1274,AU_project,au_286,126.5,127,-18,-17.5
1275,AU_project,au_287,127,127.5,-18,-17.5
1276,AU_project,au_288,127.5,128,-18,-17.5
1277,AU_project,au_289,128,128.5,-18,-17.5
1278,AU_project,au_290,128.5,129,-18,-17.5
1279,AU_project,au_291,129,129.5,-18,-17.5
1280,AU_project,au_292,129.5,130,-18,-17.5
1281,AU_project,au_293,130,130.5,-18,-17.5
1282,AU_project,au_294,130.5,131,-18,-17.5
1283,AU_project,au_295,131,131.5,-18,-17.5
1284,AU_project,au_296,131.5,132,-18,-17.5
1285,AU_project,au_297,132,132.5,-18,-17.5
1286,AU_project,au_298,132.5,133,-18,-17.5
1287,AU_project,au_299,133,133.5,-18,-17.5
1288,AU_project,au_300,133.5,134,-18,-17.5
1289,AU_project,au_301,134,134.5,-18,-17.5
1290,AU_project,au_302,134.5,135,-18,-17.5
1291,AU_project,au_303,135,135.5,-18,-17.5
1292,AU_project,au_304,135.5,136,-18,-17.5
1293,AU_project,au_305,136,136.5,-18,-17.5
1294,AU_project,au_306,136.5,137,-18,-17.5
1295,AU_project,au_307,137,137.5,-18,-17.5
1296,AU_project,au_308,137.5,138,-18,-17.5
1297,AU_project,au_309,138,138.5,-18,-17.5
1298,AU_project,au_310,138.5,139,-18,-17.5
1299,AU_project,au_311,139,139.5,-18,-17.5
1300,AU_project,au_312,139.5,140,-18,-17.5
1301,AU_project,au_313,140,140.5,-18,-17.5
1302,AU_project,au_314,140.5,141,-18,-17.5
1303,AU_project,au_315,141,141.5,-18,-17.5
1304,AU_project,au_316,141.5,142,-18,-17.5
1305,AU_project,au_317,142,142.5,-18,-17.5
1306,AU_project,au_318,142.5,143,-18,-17.5
1307,AU_project,au_319,143,143.5,-18,-17.5
1308,AU_project,au_320,143.5,144,-18,-17.5
1309,AU_project,au_321,144,144.5,-18,-17.5
1310,AU_project,au_322,144.5,145,-18,-17.5
1311,AU_project,au_323,145,145.5,-18,-17.5
1312,AU_project,au_324,145.5,146,-18,-17.5
1348,AU_project,au_325,122,122.5,-18.5,-18
1349,AU_project,au_326,122.5,123,-18.5,-18
1350,AU_project,au_327,123,123.5,-18.5,-18
1351,AU_project,au_328,123.5,124,-18.5,-18
1352,AU_project,au_329,124,124.5,-18.5,-18
1353,AU_project,au_330,124.5,125,-18.5,-18
1354,AU_project,au_331,125,125.5,-18.5,-18
1355,AU_project,au_332,125.5,126,-18.5,-18
1356,AU_project,au_333,126,126.5,-18.5,-18
1357,AU_project,au_334,126.5,127,-18.5,-18
1358,AU_project,au_335,127,127.5,-18.5,-18
1359,AU_project,au_336,127.5,128,-18.5,-18
1360,AU_project,au_337,128,128.5,-18.5,-18
1361,AU_project,au_338,128.5,129,-18.5,-18
1362,AU_project,au_339,129,129.5,-18.5,-18
1363,AU_project,au_340,129.5,130,-18.5,-18
1364,AU_project,au_341,130,130.5,-18.5,-18
1365,AU_project,au_342,130.5,131,-18.5,-18
1366,AU_project,au_343,131,131.5,-18.5,-18
1367,AU_project,au_344,131.5,132,-18.5,-18
1368,AU_project,au_345,132,132.5,-18.5,-18
1369,AU_project,au_346,132.5,133,-18.5,-18
1370,AU_project,au_347,133,133.5,-18.5,-18
1371,AU_project,au_348,133.5,134,-18.5,-18
1372,AU_project,au_349,134,134.5,-18.5,-18
1373,AU_project,au_350,134.5,135,-18.5,-18
1374,AU_project,au_351,135,135.5,-18.5,-18
1375,AU_project,au_352,135.5,136,-18.5,-18
1376,AU_project,au_353,136,136.5,-18.5,-18
1377,AU_project,au_354,136.5,137,-18.5,-18
1378,AU_project,au_355,137,137.5,-18.5,-18
1379,AU_project,au_356,137.5,138,-18.5,-18
1380,AU_project,au_357,138,138.5,-18.5,-18
1381,AU_project,au_358,138.5,139,-18.5,-18
1382,AU_project,au_359,139,139.5,-18.5,-18
1383,AU_project,au_360,139.5,140,-18.5,-18
1384,AU_project,au_361,140,140.5,-18.5,-18
1385,AU_project,au_362,140.5,141,-18.5,-18
1386,AU_project,au_363,141,141.5,-18.5,-18
1387,AU_project,au_364,141.5,142,-18.5,-18
1388,AU_project,au_365,142,142.5,-18.5,-18
1389,AU_project,au_366,142.5,143,-18.5,-18
1390,AU_project,au_367,143,143.5,-18.5,-18
1391,AU_project,au_368,143.5,144,-18.5,-18
1392,AU_project,au_369,144,144.5,-18.5,-18
1393,AU_project,au_370,144.5,145,-18.5,-18
1394,AU_project,au_371,145,145.5,-18.5,-18
1395,AU_project,au_372,145.5,146,-18.5,-18
1430,AU_project,au_373,121.5,122,-19,-18.5
1431,AU_project,au_374,122,122.5,-19,-18.5
1432,AU_project,au_375,122.5,123,-19,-18.5
1433,AU_project,au_376,123,123.5,-19,-18.5
1434,AU_project,au_377,123.5,124,-19,-18.5
1435,AU_project,au_378,124,124.5,-19,-18.5
1436,AU_project,au_379,124.5,125,-19,-18.5
1437,AU_project,au_380,125,125.5,-19,-18.5
1438,AU_project,au_381,125.5,126,-19,-18.5
1439,AU_project,au_382,126,126.5,-19,-18.5
1440,AU_project,au_383,126.5,127,-19,-18.5
1441,AU_project,au_384,127,127.5,-19,-18.5
1442,AU_project,au_385,127.5,128,-19,-18.5
1443,AU_project,au_386,128,128.5,-19,-18.5
1444,AU_project,au_387,128.5,129,-19,-18.5
1445,AU_project,au_388,129,129.5,-19,-18.5
1446,AU_project,au_389,129.5,130,-19,-18.5
1447,AU_project,au_390,130,130.5,-19,-18.5
1448,AU_project,au_391,130.5,131,-19,-18.5
1449,AU_project,au_392,131,131.5,-19,-18.5
1450,AU_project,au_393,131.5,132,-19,-18.5
1451,AU_project,au_394,132,132.5,-19,-18.5
1452,AU_project,au_395,132.5,133,-19,-18.5
1453,AU_project,au_396,133,133.5,-19,-18.5
1454,AU_project,au_397,133.5,134,-19,-18.5
1455,AU_project,au_398,134,134.5,-19,-18.5
1456,AU_project,au_399,134.5,135,-19,-18.5
1457,AU_project,au_400,135,135.5,-19,-18.5
1458,AU_project,au_401,135.5,136,-19,-18.5
1459,AU_project,au_402,136,136.5,-19,-18.5
1460,AU_project,au_403,136.5,137,-19,-18.5
1461,AU_project,au_404,137,137.5,-19,-18.5
1462,AU_project,au_405,137.5,138,-19,-18.5
1463,AU_project,au_406,138,138.5,-19,-18.5
1464,AU_project,au_407,138.5,139,-19,-18.5
1465,AU_project,au_408,139,139.5,-19,-18.5
1466,AU_project,au_409,139.5,140,-19,-18.5
1467,AU_project,au_410,140,140.5,-19,-18.5
1468,AU_project,au_411,140.5,141,-19,-18.5
1469,AU_project,au_412,141,141.5,-19,-18.5
1470,AU_project,au_413,141.5,142,-19,-18.5
1471,AU_project,au_414,142,142.5,-19,-18.5
1472,AU_project,au_415,142.5,143,-19,-18.5
1473,AU_project,au_416,143,143.5,-19,-18.5
1474,AU_project,au_417,143.5,144,-19,-18.5
1475,AU_project,au_418,144,144.5,-19,-18.5
1476,AU_project,au_419,144.5,145,-19,-18.5
1477,AU_project,au_420,145,145.5,-19,-18.5
1478,AU_project,au_421,145.5,146,-19,-18.5
1479,AU_project,au_422,146,146.5,-19,-18.5
1513,AU_project,au_423,121.5,122,-19.5,-19
1514,AU_project,au_424,122,122.5,-19.5,-19
1515,AU_project,au_425,122.5,123,-19.5,-19
1516,AU_project,au_426,123,123.5,-19.5,-19
1517,AU_project,au_427,123.5,124,-19.5,-19
1518,AU_project,au_428,124,124.5,-19.5,-19
1519,AU_project,au_429,124.5,125,-19.5,-19
1520,AU_project,au_430,125,125.5,-19.5,-19
1521,AU_project,au_431,125.5,126,-19.5,-19
1522,AU_project,au_432,126,126.5,-19.5,-19
1523,AU_project,au_433,126.5,127,-19.5,-19
1524,AU_project,au_434,127,127.5,-19.5,-19
1525,AU_project,au_435,127.5,128,-19.5,-19
1526,AU_project,au_436,128,128.5,-19.5,-19
1527,AU_project,au_437,128.5,129,-19.5,-19
1528,AU_project,au_438,129,129.5,-19.5,-19
1529,AU_project,au_439,129.5,130,-19.5,-19
1530,AU_project,au_440,130,130.5,-19.5,-19
1531,AU_project,au_441,130.5,131,-19.5,-19
1532,AU_project,au_442,131,131.5,-19.5,-19
1533,AU_project,au_443,131.5,132,-19.5,-19
1534,AU_project,au_444,132,132.5,-19.5,-19
1535,AU_project,au_445,132.5,133,-19.5,-19
1536,AU_project,au_446,133,133.5,-19.5,-19
1537,AU_project,au_447,133.5,134,-19.5,-19
1538,AU_project,au_448,134,134.5,-19.5,-19
1539,AU_project,au_449,134.5,135,-19.5,-19
1540,AU_project,au_450,135,135.5,-19.5,-19
1541,AU_project,au_451,135.5,136,-19.5,-19
1542,AU_project,au_452,136,136.5,-19.5,-19
1543,AU_project,au_453,136.5,137,-19.5,-19
1544,AU_project,au_454,137,137.5,-19.5,-19
1545,AU_project,au_455,137.5,138,-19.5,-19
1546,AU_project,au_456,138,138.5,-19.5,-19
1547,AU_project,au_457,138.5,139,-19.5,-19
1548,AU_project,au_458,139,139.5,-19.5,-19
1549,AU_project,au_459,139.5,140,-19.5,-19
1550,AU_project,au_460,140,140.5,-19.5,-19
1551,AU_project,au_461,140.5,141,-19.5,-19
1552,AU_project,au_462,141,141.5,-19.5,-19
1553,AU_project,au_463,141.5,142,-19.5,-19
1554,AU_project,au_464,142,142.5,-19.5,-19
1555,AU_project,au_465,142.5,143,-19.5,-19
1556,AU_project,au_466,143,143.5,-19.5,-19
1557,AU_project,au_467,143.5,144,-19.5,-19
1558,AU_project,au_468,144,144.5,-19.5,-19
1559,AU_project,au_469,144.5,145,-19.5,-19
1560,AU_project,au_470,145,145.5,-19.5,-19
1561,AU_project,au_471,145.5,146,-19.5,-19
1562,AU_project,au_472,146,146.5,-19.5,-19
1594,AU_project,au_473,120.5,121,-20,-19.5
1595,AU_project,au_474,121,121.5,-20,-19.5
1596,AU_project,au_475,121.5,122,-20,-19.5
1597,AU_project,au_476,122,122.5,-20,-19.5
1598,AU_project,au_477,122.5,123,-20,-19.5
1599,AU_project,au_478,123,123.5,-20,-19.5
1600,AU_project,au_479,123.5,124,-20,-19.5
1601,AU_project,au_480,124,124.5,-20,-19.5
1602,AU_project,au_481,124.5,125,-20,-19.5
1603,AU_project,au_482,125,125.5,-20,-19.5
1604,AU_project,au_483,125.5,126,-20,-19.5
1605,AU_project,au_484,126,126.5,-20,-19.5
1606,AU_project,au_485,126.5,127,-20,-19.5
1607,AU_project,au_486,127,127.5,-20,-19.5
1608,AU_project,au_487,127.5,128,-20,-19.5
1609,AU_project,au_488,128,128.5,-20,-19.5
1610,AU_project,au_489,128.5,129,-20,-19.5
1611,AU_project,au_490,129,129.5,-20,-19.5
1612,AU_project,au_491,129.5,130,-20,-19.5
1613,AU_project,au_492,130,130.5,-20,-19.5
1614,AU_project,au_493,130.5,131,-20,-19.5
1615,AU_project,au_494,131,131.5,-20,-19.5
1616,AU_project,au_495,131.5,132,-20,-19.5
1617,AU_project,au_496,132,132.5,-20,-19.5
1618,AU_project,au_497,132.5,133,-20,-19.5
1619,AU_project,au_498,133,133.5,-20,-19.5
1620,AU_project,au_499,133.5,134,-20,-19.5
1621,AU_project,au_500,134,134.5,-20,-19.5
1622,AU_project,au_501,134.5,135,-20,-19.5
1623,AU_project,au_502,135,135.5,-20,-19.5
1624,AU_project,au_503,135.5,136,-20,-19.5
1625,AU_project,au_504,136,136.5,-20,-19.5
1626,AU_project,au_505,136.5,137,-20,-19.5
1627,AU_project,au_506,137,137.5,-20,-19.5
1628,AU_project,au_507,137.5,138,-20,-19.5
1629,AU_project,au_508,138,138.5,-20,-19.5
1630,AU_project,au_509,138.5,139,-20,-19.5
1631,AU_project,au_510,139,139.5,-20,-19.5
1632,AU_project,au_511,139.5,140,-20,-19.5
1633,AU_project,au_512,140,140.5,-20,-19.5
1634,AU_project,au_513,140.5,141,-20,-19.5
1635,AU_project,au_514,141,141.5,-20,-19.5
1636,AU_project,au_515,141.5,142,-20,-19.5
1637,AU_project,au_516,142,142.5,-20,-19.5
1638,AU_project,au_517,142.5,143,-20,-19.5
1639,AU_project,au_518,143,143.5,-20,-19.5
1640,AU_project,au_519,143.5,144,-20,-19.5
1641,AU_project,au_520,144,144.5,-20,-19.5
1642,AU_project,au_521,144.5,145,-20,-19.5
1643,AU_project,au_522,145,145.5,-20,-19.5
1644,AU_project,au_523,145.5,146,-20,-19.5
1645,AU_project,au_524,146,146.5,-20,-19.5
1646,AU_project,au_525,146.5,147,-20,-19.5
1647,AU_project,au_526,147,147.5,-20,-19.5
1674,AU_project,au_527,119,119.5,-20.5,-20
1675,AU_project,au_528,119.5,120,-20.5,-20
1676,AU_project,au_529,120,120.5,-20.5,-20
1677,AU_project,au_530,120.5,121,-20.5,-20
1678,AU_project,au_531,121,121.5,-20.5,-20
1679,AU_project,au_532,121.5,122,-20.5,-20
1680,AU_project,au_533,122,122.5,-20.5,-20
1681,AU_project,au_534,122.5,123,-20.5,-20
1682,AU_project,au_535,123,123.5,-20.5,-20
1683,AU_project,au_536,123.5,124,-20.5,-20
1684,AU_project,au_537,124,124.5,-20.5,-20
1685,AU_project,au_538,124.5,125,-20.5,-20
